"boundary","subject","Context","Speechness","stdize_b"
6.79361827329178,"X011","Tone 1","Speech",6.79361827329178
6.2190124201707,"X014","Tone 1","Speech",6.2190124201707
7.18812573616598,"X010","Tone 1","Speech",7.18812573616598
5.81187396390403,"X006","Tone 1","Speech",5.81187396390403
8.33099159080815,"X016","Tone 1","Speech",8.33099159080815
5.93736061154428,"X012","Tone 1","Speech",5.93736061154428
5.49999999996692,"X015","Tone 1","Speech",5.49999999996692
7.76947207362851,"X005","Tone 1","Speech",7.76947207362851
6.89794708914976,"X014","Tone 1","Speech",6.89794708914976
7.62649785243229,"X027","Tone 1","Speech",7.62649785243229
4.91685850821113,"X003","Tone 1","Speech",4.91685850821113
7.17039483972848,"X020","Tone 1","Speech",7.17039483972848
4.56805829059041,"X026","Tone 1","Speech",4.56805829059041
6.62720644558773,"X008","Tone 1","Speech",6.62720644558773
4.46117586125672,"X021","Tone 1","Speech",4.46117586125672
8.35860409612619,"X025","Tone 1","Speech",8.35860409612619
4.46117586125672,"X022","Tone 1","Speech",4.46117586125672
4.23052822987182,"X024","Tone 1","Speech",4.23052822987182
7.10205297817254,"X009","Tone 1","Speech",7.10205297817254
5.56679646010963,"X004","Tone 2","Speech",5.56679646010963
6.19538290128631,"X017","Tone 2","Speech",6.19538290128631
6.15214157859715,"X033","Tone 2","Speech",6.15214157859715
-0.0460210212178806,"X030","Tone 2","Speech",1
-2.49511865536334,"X031","Tone 2","Speech",1
7.74360124056103,"X001","Tone 2","Speech",7.74360124056103
6.28591609154241,"X032","Tone 2","Speech",6.28591609154241
1.82079755535907,"X019","Tone 2","Speech",1.82079755535907
0.598092238806862,"X018","Tone 2","Speech",1
4.95624236354424,"X035","Tone 2","Speech",4.95624236354424
7.40039325058512,"X034","Tone 2","Speech",7.40039325058512
3.97294619212241,"X013","Tone 2","Speech",3.97294619212241
5.64156432959146,"X029","Tone 2","Speech",5.64156432959146
4.54239651589594,"X007","Tone 2","Speech",4.54239651589594
6.01468994800077,"X011","Tone 2","Speech",6.01468994800077
3.51603305705948,"X014","Tone 2","Speech",3.51603305705948
6.07071674005859,"X010","Tone 2","Speech",6.07071674005859
1.53611712801237,"X006","Tone 2","Speech",1.53611712801237
4.6701269276706,"X016","Tone 2","Speech",4.6701269276706
4.45760040374431,"X012","Tone 2","Speech",4.45760040374431
5.33458903968552,"X015","Tone 2","Speech",5.33458903968552
6.65265085499055,"X005","Tone 2","Speech",6.65265085499055
6.02771339601642,"X014","Tone 2","Speech",6.02771339601642
6.33099164723346,"X027","Tone 2","Speech",6.33099164723346
3.52653941452318,"X003","Tone 2","Speech",3.52653941452318
2.90803319268458,"X020","Tone 2","Speech",2.90803319268458
3.48224919411153,"X026","Tone 2","Speech",3.48224919411153
