"","step","Context tone","Speechness","subject","T4_count"
"637","step07","No context","Nonspeech","X029",6
"638","step08","No context","Nonspeech","X029",5
"639","step09","No context","Nonspeech","X029",2
"640","step10","No context","Nonspeech","X029",0
"641","step11","No context","Nonspeech","X029",0
"642","step12","No context","Nonspeech","X029",0
"643","step13","No context","Nonspeech","X029",0
"644","step14","No context","Nonspeech","X029",0
"645","step01","No context","Nonspeech","X007",7
"646","step02","No context","Nonspeech","X007",7
"647","step03","No context","Nonspeech","X007",7
"648","step04","No context","Nonspeech","X007",7
"649","step05","No context","Nonspeech","X007",7
"650","step06","No context","Nonspeech","X007",5
"651","step07","No context","Nonspeech","X007",4
"652","step08","No context","Nonspeech","X007",1
"653","step09","No context","Nonspeech","X007",0
"654","step10","No context","Nonspeech","X007",0
"655","step11","No context","Nonspeech","X007",0
"656","step12","No context","Nonspeech","X007",0
"657","step13","No context","Nonspeech","X007",0
"658","step14","No context","Nonspeech","X007",0
"659","step01","No context","Nonspeech","X010",7
"660","step02","No context","Nonspeech","X010",7
"661","step03","No context","Nonspeech","X010",7
"662","step04","No context","Nonspeech","X010",7
"663","step05","No context","Nonspeech","X010",7
"664","step06","No context","Nonspeech","X010",7
"665","step07","No context","Nonspeech","X010",7
"666","step08","No context","Nonspeech","X010",6
"667","step09","No context","Nonspeech","X010",0
"668","step10","No context","Nonspeech","X010",0
"669","step11","No context","Nonspeech","X010",0
"670","step12","No context","Nonspeech","X010",0
"671","step13","No context","Nonspeech","X010",0
"672","step14","No context","Nonspeech","X010",0
"673","step01","No context","Nonspeech","X011",7
"674","step02","No context","Nonspeech","X011",7
"675","step03","No context","Nonspeech","X011",7
"676","step04","No context","Nonspeech","X011",7
"677","step05","No context","Nonspeech","X011",6
"678","step06","No context","Nonspeech","X011",6
"679","step07","No context","Nonspeech","X011",5
"680","step08","No context","Nonspeech","X011",4
"681","step09","No context","Nonspeech","X011",2
"682","step10","No context","Nonspeech","X011",0
"683","step11","No context","Nonspeech","X011",0
"684","step12","No context","Nonspeech","X011",0
"685","step13","No context","Nonspeech","X011",0
"686","step14","No context","Nonspeech","X011",0
