"","step","Context","Subject","T4_count","T4_percent"
"365",10,"Tone2","hui",1,0.142857142857143
"366",9,"Tone2","hui",0,0
"367",8,"Tone2","hui",0,0
"368",7,"Tone2","hui",1,0.142857142857143
"369",6,"Tone2","hui",5,0.714285714285714
"370",5,"Tone2","hui",7,1
"371",4,"Tone2","hui",7,1
"372",3,"Tone2","hui",7,1
"373",2,"Tone2","hui",7,1
"374",1,"Tone2","hui",7,1
"375",11,"Tone4","hui",0,0
"376",10,"Tone4","hui",2,0.285714285714286
"377",9,"Tone4","hui",7,1
"378",8,"Tone4","hui",7,1
"379",7,"Tone4","hui",7,1
"380",6,"Tone4","hui",7,1
"381",5,"Tone4","hui",7,1
"382",4,"Tone4","hui",7,1
"383",3,"Tone4","hui",7,1
"384",2,"Tone4","hui",7,1
"385",1,"Tone4","hui",7,1
"386",11,"Tone1","X3",0,0
"387",10,"Tone1","X3",0,0
"388",9,"Tone1","X3",0,0
"389",8,"Tone1","X3",0,0
"390",7,"Tone1","X3",7,1
"391",6,"Tone1","X3",7,1
"392",5,"Tone1","X3",7,1
"393",4,"Tone1","X3",7,1
"394",3,"Tone1","X3",7,1
"395",2,"Tone1","X3",7,1
"396",1,"Tone1","X3",7,1
"397",11,"Tone2","X3",0,0
"398",10,"Tone2","X3",0,0
"399",9,"Tone2","X3",0,0
"400",8,"Tone2","X3",1,0.142857142857143
"401",7,"Tone2","X3",0,0
"402",6,"Tone2","X3",0,0
"403",5,"Tone2","X3",0,0
"404",4,"Tone2","X3",3,0.428571428571429
"405",3,"Tone2","X3",4,0.571428571428571
"406",2,"Tone2","X3",7,1
"407",1,"Tone2","X3",7,1
"408",11,"Tone4","X3",0,0
"409",10,"Tone4","X3",5,0.714285714285714
"410",9,"Tone4","X3",7,1
"411",8,"Tone4","X3",7,1
"412",7,"Tone4","X3",7,1
"413",6,"Tone4","X3",7,1
"414",5,"Tone4","X3",7,1
"415",4,"Tone4","X3",7,1
"416",3,"Tone4","X3",7,1
"417",2,"Tone4","X3",7,1
"418",1,"Tone4","X3",7,1
"419",11,"Tone1","X2",0,0
"420",10,"Tone1","X2",1,0.142857142857143
"421",9,"Tone1","X2",0,0
"422",8,"Tone1","X2",1,0.142857142857143
"423",7,"Tone1","X2",1,0.142857142857143
"424",6,"Tone1","X2",3,0.428571428571429
"425",5,"Tone1","X2",7,1
"426",4,"Tone1","X2",7,1
"427",3,"Tone1","X2",7,1
"428",2,"Tone1","X2",7,1
"429",1,"Tone1","X2",7,1
"430",11,"Tone2","X2",0,0
"431",10,"Tone2","X2",0,0
"432",9,"Tone2","X2",0,0
"433",8,"Tone2","X2",0,0
"434",7,"Tone2","X2",0,0
"435",6,"Tone2","X2",0,0
"436",5,"Tone2","X2",0,0
"437",4,"Tone2","X2",0,0
